,rank,name,country,number_of_students,student_per_staff,intl_students_percentage,female_male_ratio,isr_percentage,female_ratio,male_ratio,year
0,1,University of Oxford,United Kingdom,20965,10.6,42,48 : 52,,48.0,52.0,2023-01-01
1,2,Harvard University,United States,21887,9.6,25,50 : 50,,50.0,50.0,2023-01-01
2,3,University of Cambridge,United Kingdom,20185,11.3,39,47 : 53,,47.0,53.0,2023-01-01
3,3,Stanford University,United States,16164,7.1,24,46 : 54,,46.0,54.0,2023-01-01
4,5,Massachusetts Institute of Technology,United States,11415,8.2,33,40 : 60,,40.0,60.0,2023-01-01
5,6,California Institute of Technology,United States,2237,6.2,34,37 : 63,,37.0,63.0,2023-01-01
6,7,Princeton University,United States,8279,8.0,23,46 : 54,,46.0,54.0,2023-01-01
7,8,"University of California, Berkeley",United States,40921,18.4,24,52 : 48,,52.0,48.0,2023-01-01
8,9,Yale University,United States,13482,5.9,21,52 : 48,,52.0,48.0,2023-01-01
9,10,Imperial College London,United Kingdom,18545,11.2,61,40 : 60,,40.0,60.0,2023-01-01
10,11,Columbia University,United States,21781,4.5,38,n/a,,,,2023-01-01
11,11,ETH Zurich,Switzerland,21665,14.8,41,33 : 67,,33.0,67.0,2023-01-01
12,13,The University of Chicago,United States,15366,6.0,36,47 : 53,,47.0,53.0,2023-01-01
13,14,University of Pennsylvania,United States,21453,6.3,23,53 : 47,,53.0,47.0,2023-01-01
14,15,Johns Hopkins University,United States,17584,4.7,29,53 : 47,,53.0,47.0,2023-01-01
15,16,Tsinghua University,China,38324,11.6,10,n/a,,,,2023-01-01
16,17,Peking University,China,31994,10.3,19,n/a,,,,2023-01-01
17,18,University of Toronto,Canada,77468,25.8,26,56 : 44,,56.0,44.0,2023-01-01
18,19,National University of Singapore,Singapore,32337,19.8,25,51 : 49,,51.0,49.0,2023-01-01
19,20,Cornell University,United States,24027,10.3,26,51 : 49,,51.0,49.0,2023-01-01
20,21,"University of California, Los Angeles",United States,42434,9.7,16,56 : 44,,56.0,44.0,2023-01-01
21,22,UCL,United Kingdom,36790,10.3,60,59 : 41,,59.0,41.0,2023-01-01
22,23,University of Michigan-Ann Arbor,United States,45912,8.2,17,50 : 50,,50.0,50.0,2023-01-01
23,24,New York University,United States,36337,9.8,42,57 : 43,,57.0,43.0,2023-01-01
24,25,Duke University,United States,16091,4.2,24,52 : 48,,52.0,48.0,2023-01-01
25,26,Northwestern University,United States,19175,13.2,20,51 : 49,,51.0,49.0,2023-01-01
26,26,University of Washington,United States,47727,10.8,18,55 : 45,,55.0,45.0,2023-01-01
27,28,Carnegie Mellon University,United States,14305,12.9,47,44 : 56,,44.0,56.0,2023-01-01
28,29,University of Edinburgh,United Kingdom,32845,11.8,47,62 : 38,,62.0,38.0,2023-01-01
29,30,Technical University of Munich,Germany,33960,40.6,36,37 : 63,,37.0,63.0,2023-01-01
30,31,University of Hong Kong,Hong Kong,18087,18.2,43,54 : 46,,54.0,46.0,2023-01-01
31,32,"University of California, San Diego",United States,37030,11.3,28,48 : 52,,48.0,52.0,2023-01-01
32,33,LMU Munich,Germany,35003,34.2,19,61 : 39,,61.0,39.0,2023-01-01
33,34,University of Melbourne,Australia,49588,23.8,47,58 : 42,,58.0,42.0,2023-01-01
34,35,King’s College London,United Kingdom,28965,11.8,52,63 : 37,,63.0,37.0,2023-01-01
35,36,"Nanyang Technological University, Singapore",Singapore,24651,15.1,25,48 : 52,,48.0,52.0,2023-01-01
36,37,London School of Economics and Political Science,United Kingdom,11120,11.9,73,55 : 45,,55.0,45.0,2023-01-01
37,38,Georgia Institute of Technology,United States,28826,24.7,40,33 : 67,,33.0,67.0,2023-01-01
38,39,The University of Tokyo,Japan,26112,10.5,15,n/a,,,,2023-01-01
