,rank,name,country,number_of_students,student_per_staff,intl_students_percentage,female_male_ratio,isr_percentage,female_ratio,male_ratio,year
39,40,University of British Columbia,Canada,56452,18.9,34,55 : 45,,55.0,45.0,2023-01-01
40,41,École Polytechnique Fédérale de Lausanne,Switzerland,11641,12.3,62,30 : 70,,30.0,70.0,2023-01-01
41,42,KU Leuven,Belgium,47663,36.5,18,51 : 49,,51.0,49.0,2023-01-01
42,43,Universität Heidelberg,Germany,19347,13.5,21,55 : 45,,55.0,45.0,2023-01-01
43,44,Monash University,Australia,58725,42.5,41,57 : 43,,57.0,43.0,2023-01-01
44,45,The Chinese University of Hong Kong,Hong Kong,18468,19.0,21,n/a,,,,2023-01-01
45,46,McGill University,Canada,32309,12.5,30,60 : 40,,60.0,40.0,2023-01-01
46,47,Paris Sciences et Lettres – PSL Research University Paris,France,16218,15.0,22,51 : 49,,51.0,49.0,2023-01-01
47,48,University of Illinois at Urbana-Champaign,United States,48674,17.4,22,48 : 52,,48.0,52.0,2023-01-01
48,49,Karolinska Institute,Sweden,8021,9.9,27,70 : 30,,70.0,30.0,2023-01-01
49,50,University of Texas at Austin,United States,49171,17.4,10,53 : 47,,53.0,47.0,2023-01-01
50,51,Fudan University,China,36318,11.9,9,52 : 48,,52.0,48.0,2023-01-01
51,52,Shanghai Jiao Tong University,China,37478,11.5,8,42 : 58,,42.0,58.0,2023-01-01
52,53,The University of Queensland,Australia,41372,34.2,41,55 : 45,,55.0,45.0,2023-01-01
53,54,University of Manchester,United Kingdom,37035,14.2,44,55 : 45,,55.0,45.0,2023-01-01
54,54,The University of Sydney,Australia,45853,19.0,45,58 : 42,,58.0,42.0,2023-01-01
55,56,Seoul National University,South Korea,26209,15.1,10,n/a,,,,2023-01-01
56,57,Washington University in St Louis,United States,14420,7.8,24,53 : 47,,53.0,47.0,2023-01-01
57,58,The Hong Kong University of Science and Technology,Hong Kong,9864,21.0,32,n/a,,,,2023-01-01
58,59,Wageningen University & Research,Netherlands,15404,18.6,27,55 : 45,,55.0,45.0,2023-01-01
59,60,University of Amsterdam,Netherlands,29157,14.5,32,59 : 41,,59.0,41.0,2023-01-01
60,61,Brown University,United States,10037,10.1,21,n/a,,,,2023-01-01
61,62,Australian National University,Australia,16758,14.6,51,52 : 48,,52.0,48.0,2023-01-01
62,63,"University of California, Davis",United States,37639,13.1,18,60 : 40,,60.0,40.0,2023-01-01
63,64,"University of California, Santa Barbara",United States,25860,28.5,20,54 : 46,,54.0,46.0,2023-01-01
64,65,University of Southern California,United States,40549,12.6,22,49 : 51,,49.0,51.0,2023-01-01
65,66,Utrecht University,Netherlands,32532,17.1,13,62 : 38,,62.0,38.0,2023-01-01
66,67,Zhejiang University,China,46124,12.0,16,n/a,,,,2023-01-01
67,68,Kyoto University,Japan,22269,9.2,12,25 : 75,,25.0,75.0,2023-01-01
68,69,University of North Carolina at Chapel Hill,United States,31080,7.9,8,59 : 41,,59.0,41.0,2023-01-01
69,70,Delft University of Technology,Netherlands,20299,16.1,31,31 : 69,,31.0,69.0,2023-01-01
70,71,Boston University,United States,27243,10.8,31,59 : 41,,59.0,41.0,2023-01-01
71,71,UNSW Sydney,Australia,45133,36.3,40,47 : 53,,47.0,53.0,2023-01-01
72,73,Charité - Universitätsmedizin Berlin,Germany,8429,18.0,21,64 : 36,,64.0,36.0,2023-01-01
73,74,University of Science and Technology of China,China,18573,8.1,6,n/a,,,,2023-01-01
74,75,University of Groningen,Netherlands,30009,24.4,28,52 : 48,,52.0,48.0,2023-01-01
75,76,University of Bristol,United Kingdom,25680,14.6,31,56 : 44,,56.0,44.0,2023-01-01
76,77,Leiden University,Netherlands,33648,19.3,20,60 : 40,,60.0,40.0,2023-01-01
77,78,Yonsei University (Seoul campus),South Korea,19481,14.7,17,50 : 50,,50.0,50.0,2023-01-01
78,79,The Hong Kong Polytechnic University,Hong Kong,19046,28.9,30,51 : 49,,51.0,49.0,2023-01-01
79,80,Erasmus University Rotterdam,Netherlands,31668,33.9,22,53 : 47,,53.0,47.0,2023-01-01
80,81,University of Wisconsin-Madison,United States,40701,10.0,14,n/a,,,,2023-01-01
81,82,Emory University,United States,13190,4.2,20,60 : 40,,60.0,40.0,2023-01-01
82,82,University of Glasgow,United Kingdom,28540,13.5,41,59 : 41,,59.0,41.0,2023-01-01
83,82,University of Zurich,Switzerland,25003,13.7,22,56 : 44,,56.0,44.0,2023-01-01
84,85,McMaster University,Canada,26403,29.0,20,56 : 44,,56.0,44.0,2023-01-01
85,86,Humboldt University of Berlin,Germany,34399,53.2,17,n/a,,,,2023-01-01
86,86,University of Tübingen,Germany,20620,27.5,13,59 : 41,,59.0,41.0,2023-01-01
87,88,University of Adelaide,Australia,23102,32.8,32,49 : 51,,49.0,51.0,2023-01-01
88,89,University of Bonn,Germany,27210,47.5,17,56 : 44,,56.0,44.0,2023-01-01
89,90,Sorbonne University,France,41443,13.9,21,59 : 41,,59.0,41.0,2023-01-01
90,91,Free University of Berlin,Germany,26497,41.9,23,62 : 38,,62.0,38.0,2023-01-01
91,91,Korea Advanced Institute of Science and Technology (KAIST),South Korea,9946,10.7,9,21 : 79,,21.0,79.0,2023-01-01
92,93,Université Paris-Saclay,France,44443,14.9,19,49 : 51,,49.0,51.0,2023-01-01
93,94,University of Bern,Switzerland,11728,17.2,17,58 : 42,,58.0,42.0,2023-01-01
94,95,"University of California, Irvine",United States,36655,16.9,28,52 : 48,,52.0,48.0,2023-01-01
95,95,Institut Polytechnique de Paris,France,5999,6.7,41,24 : 76,,24.0,76.0,2023-01-01
96,95,Nanjing University,China,36426,16.5,8,54 : 46,,54.0,46.0,2023-01-01
97,98,Vanderbilt University,United States,12696,3.8,15,55 : 45,,55.0,45.0,2023-01-01
98,99,City University of Hong Kong,Hong Kong,9099,12.1,62,54 : 46,,54.0,46.0,2023-01-01
99,99,RWTH Aachen University,Germany,39738,50.0,28,33 : 67,,33.0,67.0,2023-01-01
