,rank,name,country,number_of_students,student_per_staff,intl_students_percentage,female_male_ratio,isr_percentage,female_ratio,male_ratio,year
64,64,The Hong Kong University of Science and Technology,Hong Kong,9794,19.9,30,n/a,44%,,,2024-01-01
65,64,Wageningen University & Research,Netherlands,15899,18.1,28,54 : 46,28%,54.0,46.0,2024-01-01
66,67,Australian National University,Australia,17293,15.1,48,52 : 48,29%,52.0,48.0,2024-01-01
67,68,Washington University in St Louis,United States,13825,7.3,22,52 : 48,12%,52.0,48.0,2024-01-01
68,69,"University of California, Santa Barbara",United States,25540,27.5,18,54 : 46,39%,54.0,46.0,2024-01-01
69,70,The University of Queensland,Australia,42847,39.1,42,55 : 45,21%,55.0,45.0,2024-01-01
70,71,Institut Polytechnique de Paris,France,6073,6.8,42,25 : 75,47%,25.0,75.0,2024-01-01
71,72,University of North Carolina at Chapel Hill,United States,30782,7.7,8,60 : 40,12%,60.0,40.0,2024-01-01
72,73,Nanjing University,China,36711,16.7,8,54 : 46,41%,54.0,46.0,2024-01-01
73,74,University of Southern California,United States,44083,14.2,24,49 : 51,20%,49.0,51.0,2024-01-01
74,75,Sorbonne University,France,41527,14.5,22,60 : 40,32%,60.0,40.0,2024-01-01
75,76,Yonsei University (Seoul campus),South Korea,18961,13.9,17,49 : 51,21%,49.0,51.0,2024-01-01
76,77,Leiden University,Netherlands,35072,19.3,21,60 : 40,24%,60.0,40.0,2024-01-01
77,78,Boston University,United States,26677,10.8,29,58 : 42,16%,58.0,42.0,2024-01-01
78,79,University of Groningen,Netherlands,31942,28.8,29,53 : 47,17%,53.0,47.0,2024-01-01
79,80,University of Zurich,Switzerland,25608,14.7,24,58 : 42,19%,58.0,42.0,2024-01-01
80,81,University of Bristol,United Kingdom,27335,14.8,31,55 : 45,27%,55.0,45.0,2024-01-01
81,82,City University of Hong Kong,Hong Kong,9076,13.2,67,54 : 46,39%,54.0,46.0,2024-01-01
82,83,Korea Advanced Institute of Science and Technology (KAIST),South Korea,10130,10.7,8,21 : 79,40%,21.0,79.0,2024-01-01
83,84,UNSW Sydney,Australia,47044,36.6,40,47 : 53,26%,47.0,53.0,2024-01-01
84,85,University of Minnesota,United States,59556,11.8,9,55 : 45,22%,55.0,45.0,2024-01-01
85,86,Purdue University West Lafayette,United States,42633,18.3,17,44 : 56,37%,44.0,56.0,2024-01-01
86,87,University of Glasgow,United Kingdom,32270,14.4,43,59 : 41,23%,59.0,41.0,2024-01-01
87,87,The Hong Kong Polytechnic University,Hong Kong,20034,30.6,30,51 : 49,38%,51.0,49.0,2024-01-01
88,87,Humboldt University of Berlin,Germany,34761,54.5,18,n/a,23%,,,2024-01-01
89,90,RWTH Aachen University,Germany,34914,43.3,29,34 : 66,39%,34.0,66.0,2024-01-01
90,91,University of Bonn,Germany,26290,44.5,17,57 : 43,26%,57.0,43.0,2024-01-01
91,92,"University of California, Irvine",United States,35675,16.2,26,53 : 47,25%,53.0,47.0,2024-01-01
92,92,Vanderbilt University,United States,12971,3.9,17,55 : 45,16%,55.0,45.0,2024-01-01
93,94,Charité - Universitätsmedizin Berlin,Germany,8868,17.5,21,65 : 35,6%,65.0,35.0,2024-01-01
94,95,,,32680,9.6,37,50 : 50,39%,50.0,50.0,2024-01-01
95,95,University of Tübingen,Germany,21632,27.1,14,59 : 41,21%,59.0,41.0,2024-01-01
96,97,KTH Royal Institute of Technology,Sweden,13269,15.9,26,34 : 66,46%,34.0,66.0,2024-01-01
97,97,University of Southampton,United Kingdom,19920,13.0,35,51 : 49,32%,51.0,49.0,2024-01-01
98,99,Erasmus University Rotterdam,Netherlands,33874,36.0,25,54 : 46,10%,54.0,46.0,2024-01-01
99,99,Ohio State University (Main campus),United States,55538,11.4,11,51 : 49,22%,51.0,49.0,2024-01-01
