,rank_2023,name,country_2023,number_of_students_2023,student_per_staff_2023,intl_students_percentage_2023,female_male_ratio_2023,isr_percentage_2023,female_ratio_2023,male_ratio_2023,year_2023,rank_2024,country_2024,number_of_students_2024,student_per_staff_2024,intl_students_percentage_2024,female_male_ratio_2024,isr_percentage_2024,female_ratio_2024,male_ratio_2024,year_2024
31,32.0,"University of California, San Diego",United States,37030.0,11.3,28.0,48 : 52,,48.0,52.0,2023-01-01,34.0,United States,40596.0,12.0,19.0,45 : 55,21%,45.0,55.0,2024-01-01
32,33.0,LMU Munich,Germany,35003.0,34.2,19.0,61 : 39,,61.0,39.0,2023-01-01,38.0,Germany,34622.0,33.5,18.0,62 : 38,21%,62.0,38.0,2024-01-01
33,34.0,University of Melbourne,Australia,49588.0,23.8,47.0,58 : 42,,58.0,42.0,2023-01-01,37.0,Australia,51307.0,25.1,47.0,58 : 42,18%,58.0,42.0,2024-01-01
34,35.0,King’s College London,United Kingdom,28965.0,11.8,52.0,63 : 37,,63.0,37.0,2023-01-01,38.0,United Kingdom,32835.0,13.9,53.0,63 : 37,12%,63.0,37.0,2024-01-01
35,36.0,"Nanyang Technological University, Singapore",Singapore,24651.0,15.1,25.0,48 : 52,,48.0,52.0,2023-01-01,32.0,Singapore,25895.0,16.7,27.0,49 : 51,38%,49.0,51.0,2024-01-01
36,37.0,London School of Economics and Political Science,United Kingdom,11120.0,11.9,73.0,55 : 45,,55.0,45.0,2023-01-01,46.0,United Kingdom,11945.0,12.6,72.0,56 : 44,15%,56.0,44.0,2024-01-01
37,38.0,Georgia Institute of Technology,United States,28826.0,24.7,40.0,33 : 67,,33.0,67.0,2023-01-01,36.0,United States,32079.0,28.0,29.0,34 : 66,43%,34.0,66.0,2024-01-01
38,39.0,The University of Tokyo,Japan,26112.0,10.5,15.0,n/a,,,,2023-01-01,29.0,Japan,26345.0,10.3,15.0,n/a,35%,,,2024-01-01
39,40.0,University of British Columbia,Canada,56452.0,18.9,34.0,55 : 45,,55.0,45.0,2023-01-01,41.0,Canada,58987.0,19.4,34.0,55 : 45,21%,55.0,45.0,2024-01-01
40,41.0,École Polytechnique Fédérale de Lausanne,Switzerland,11641.0,12.3,62.0,30 : 70,,30.0,70.0,2023-01-01,33.0,Switzerland,12543.0,13.5,64.0,30 : 70,44%,30.0,70.0,2024-01-01
41,42.0,KU Leuven,Belgium,47663.0,36.5,18.0,51 : 49,,51.0,49.0,2023-01-01,45.0,Belgium,49435.0,37.3,19.0,52 : 48,23%,52.0,48.0,2024-01-01
42,43.0,Universität Heidelberg,Germany,19347.0,13.5,21.0,55 : 45,,55.0,45.0,2023-01-01,47.0,Germany,19315.0,13.3,20.0,55 : 45,20%,55.0,45.0,2024-01-01
43,44.0,Monash University,Australia,58725.0,42.5,41.0,57 : 43,,57.0,43.0,2023-01-01,54.0,Australia,58460.0,43.1,38.0,56 : 44,21%,56.0,44.0,2024-01-01
44,45.0,The Chinese University of Hong Kong,Hong Kong,18468.0,19.0,21.0,n/a,,,,2023-01-01,53.0,Hong Kong,18290.0,18.8,25.0,n/a,25%,,,2024-01-01
45,46.0,McGill University,Canada,32309.0,12.5,30.0,60 : 40,,60.0,40.0,2023-01-01,49.0,Canada,30821.0,11.9,29.0,61 : 39,22%,61.0,39.0,2024-01-01
46,47.0,Paris Sciences et Lettres – PSL Research University Paris,France,16218.0,15.0,22.0,51 : 49,,51.0,49.0,2023-01-01,40.0,France,16120.0,15.0,22.0,51 : 49,30%,51.0,49.0,2024-01-01
47,48.0,University of Illinois at Urbana-Champaign,United States,48674.0,17.4,22.0,48 : 52,,48.0,52.0,2023-01-01,42.0,United States,50250.0,19.6,23.0,51 : 49,35%,51.0,49.0,2024-01-01
48,49.0,Karolinska Institute,Sweden,8021.0,9.9,27.0,70 : 30,,70.0,30.0,2023-01-01,50.0,Sweden,8085.0,9.9,27.0,70 : 30,4%,70.0,30.0,2024-01-01
49,50.0,University of Texas at Austin,United States,49171.0,17.4,10.0,53 : 47,,53.0,47.0,2023-01-01,52.0,United States,48558.0,16.4,8.0,55 : 45,36%,55.0,45.0,2024-01-01
50,51.0,Fudan University,China,36318.0,11.9,9.0,52 : 48,,52.0,48.0,2023-01-01,44.0,China,38101.0,12.6,9.0,52 : 48,24%,52.0,48.0,2024-01-01
51,52.0,Shanghai Jiao Tong University,China,37478.0,11.5,8.0,42 : 58,,42.0,58.0,2023-01-01,43.0,China,38472.0,12.6,9.0,37 : 63,31%,37.0,63.0,2024-01-01
52,53.0,The University of Queensland,Australia,41372.0,34.2,41.0,55 : 45,,55.0,45.0,2023-01-01,70.0,Australia,42847.0,39.1,42.0,55 : 45,21%,55.0,45.0,2024-01-01
